BEEID,TEST,CHOICE,CONDITION,TRIAL
15,3v1,1,EE,4
15,3v1,1,EE,5
15,3v1,0,EE,6
15,3v1,1,EE,7
15,3v1,0,EE,8
15,3v1,1,EE,9
15,3v1,0,EE,10
15,3v2,1,EE,1
15,3v2,0,EE,2
15,3v2,1,EE,3
15,3v2,0,EE,4
15,3v2,0,EE,5
15,3v2,1,EE,6
15,3v2,1,EE,7
15,3v2,0,EE,8
15,3v2,0,EE,9
15,3v2,1,EE,10
15,3v4,1,EE,1
15,3v4,0,EE,2
15,3v4,0,EE,3
15,3v4,0,EE,4
15,3v4,0,EE,5
15,3v4,0,EE,6
15,3v4,0,EE,7
15,3v4,0,EE,8
15,3v4,1,EE,9
15,3v4,1,EE,10
15,3v5,1,EE,1
15,3v5,1,EE,2
15,3v5,1,EE,3
15,3v5,0,EE,4
15,3v5,0,EE,5
15,3v5,1,EE,6
15,3v5,1,EE,7
15,3v5,0,EE,8
15,3v5,0,EE,9
15,3v5,0,EE,10
16,3v1,0,EE,1
16,3v1,1,EE,2
16,3v1,1,EE,3
16,3v1,1,EE,4
16,3v1,0,EE,5
16,3v1,1,EE,6
16,3v1,1,EE,7
16,3v1,1,EE,8
16,3v1,1,EE,9
16,3v1,0,EE,10
16,3v2,1,EE,1
16,3v2,1,EE,2
16,3v2,0,EE,3
16,3v2,1,EE,4
16,3v2,1,EE,5
16,3v2,1,EE,6
16,3v2,0,EE,7
16,3v2,1,EE,8
16,3v2,1,EE,9
16,3v2,0,EE,10
16,3v4,0,EE,1
16,3v4,1,EE,2
16,3v4,0,EE,3
16,3v4,0,EE,4
16,3v4,0,EE,5
16,3v4,1,EE,6
16,3v4,0,EE,7
16,3v4,1,EE,8
16,3v4,1,EE,9
16,3v4,1,EE,10
16,3v5,0,EE,1
16,3v5,0,EE,2
16,3v5,0,EE,3
16,3v5,0,EE,4
16,3v5,1,EE,5
16,3v5,1,EE,6
16,3v5,0,EE,7
16,3v5,0,EE,8
16,3v5,0,EE,9
16,3v5,1,EE,10
17,3v1,1,EE,1
17,3v1,1,EE,2
17,3v1,1,EE,3
17,3v1,1,EE,4
17,3v1,0,EE,5
17,3v1,1,EE,6
17,3v1,1,EE,7
17,3v1,1,EE,8
17,3v1,1,EE,9
17,3v1,0,EE,10
17,3v2,0,EE,1
17,3v2,0,EE,2
17,3v2,1,EE,3
17,3v2,1,EE,4
17,3v2,0,EE,5
17,3v2,0,EE,6
17,3v2,1,EE,7
17,3v2,1,EE,8
17,3v2,0,EE,9
17,3v2,0,EE,10
17,3v4,0,EE,1
17,3v4,0,EE,2
17,3v4,1,EE,3
17,3v4,1,EE,4
17,3v4,0,EE,5
17,3v4,1,EE,6
17,3v4,1,EE,7
17,3v4,0,EE,8
17,3v4,0,EE,9
17,3v4,0,EE,10
17,3v5,1,EE,1
17,3v5,1,EE,2
17,3v5,0,EE,3
17,3v5,0,EE,4
17,3v5,0,EE,5
17,3v5,0,EE,6
17,3v5,1,EE,7
17,3v5,0,EE,8
17,3v5,1,EE,9
17,3v5,0,EE,10
18,3v1,1,EE,1
18,3v1,1,EE,2
18,3v1,0,EE,3
18,3v1,1,EE,4
18,3v1,1,EE,5
18,3v1,1,EE,6
18,3v1,1,EE,7
18,3v1,0,EE,8
18,3v1,0,EE,9
18,3v1,0,EE,10
18,3v2,0,EE,1
18,3v2,0,EE,2
18,3v2,0,EE,3
18,3v2,1,EE,4
18,3v2,0,EE,5
18,3v2,1,EE,6
18,3v2,0,EE,7
18,3v2,1,EE,8
18,3v2,0,EE,9
18,3v2,1,EE,10
18,3v4,0,EE,1
18,3v4,1,EE,2
18,3v4,1,EE,3
18,3v4,1,EE,4
18,3v4,0,EE,5
18,3v4,1,EE,6
18,3v4,1,EE,7
18,3v4,1,EE,8
18,3v4,0,EE,9
18,3v4,0,EE,10
18,3v5,0,EE,1
18,3v5,1,EE,2
18,3v5,0,EE,3
18,3v5,0,EE,4
18,3v5,1,EE,5
18,3v5,1,EE,6
18,3v5,1,EE,7
18,3v5,0,EE,8
18,3v5,0,EE,9
18,3v5,1,EE,10
19,3v1,0,EE,1
19,3v1,1,EE,2
19,3v1,1,EE,3
19,3v1,1,EE,4
19,3v1,1,EE,5
19,3v1,0,EE,6
19,3v1,1,EE,7
19,3v1,1,EE,8
19,3v1,1,EE,9
19,3v1,1,EE,10
19,3v2,1,EE,1
19,3v2,1,EE,2
19,3v2,0,EE,3
19,3v2,1,EE,4
19,3v2,0,EE,5
19,3v2,0,EE,6
19,3v2,1,EE,7
19,3v2,0,EE,8
19,3v2,1,EE,9
19,3v2,1,EE,10
19,3v4,1,EE,1
19,3v4,1,EE,2
19,3v4,1,EE,3
19,3v4,1,EE,4
19,3v4,0,EE,5
19,3v4,1,EE,6
19,3v4,1,EE,7
19,3v4,1,EE,8
19,3v4,0,EE,9
19,3v4,1,EE,10
19,3v5,0,EE,1
19,3v5,0,EE,2
19,3v5,0,EE,3
19,3v5,0,EE,4
19,3v5,1,EE,5
19,3v5,1,EE,6
19,3v5,1,EE,7
19,3v5,1,EE,8
19,3v5,0,EE,9
19,3v5,0,EE,10
20,3v1,1,EE,1
20,3v1,0,EE,2
20,3v1,0,EE,3
20,3v1,0,EE,4
20,3v1,0,EE,5
20,3v1,0,EE,6
20,3v1,0,EE,7
20,3v1,0,EE,8
20,3v1,1,EE,9
20,3v1,1,EE,10
20,3v2,0,EE,1
20,3v2,0,EE,2
20,3v2,1,EE,3
20,3v2,1,EE,4
20,3v2,0,EE,5
20,3v2,0,EE,6
20,3v2,1,EE,7
20,3v2,1,EE,8
20,3v2,1,EE,9
20,3v2,1,EE,10
20,3v4,1,EE,1
20,3v4,1,EE,2
20,3v4,1,EE,3
20,3v4,1,EE,4
20,3v4,1,EE,5
20,3v4,1,EE,6
20,3v4,1,EE,7
20,3v4,1,EE,8
20,3v4,1,EE,9
20,3v4,1,EE,10
20,3v5,0,EE,1
20,3v5,0,EE,2
20,3v5,0,EE,3
20,3v5,1,EE,4
20,3v5,0,EE,5
20,3v5,0,EE,6
20,3v5,1,EE,7
20,3v5,0,EE,8
20,3v5,0,EE,9
20,3v5,1,EE,10
