CNUM,BEEID,CHOICE,CONDITION,ORDER
26,10,0,COMPOSITE,21
27,10,1,COMPOSITE,21
28,10,1,COMPOSITE,21
29,10,0,COMPOSITE,21
30,10,1,COMPOSITE,21
31,10,0,COMPOSITE,21
32,10,1,COMPOSITE,21
33,10,0,COMPOSITE,21
34,10,1,COMPOSITE,21
35,10,1,COMPOSITE,21
36,10,0,COMPOSITE,21
37,10,0,COMPOSITE,21
38,10,1,COMPOSITE,21
39,10,1,COMPOSITE,21
40,10,0,COMPOSITE,21
41,10,0,COMPOSITE,21
42,10,0,COMPOSITE,21
43,10,1,COMPOSITE,21
44,10,0,COMPOSITE,21
45,10,1,COMPOSITE,21
46,10,0,COMPOSITE,21
47,10,1,COMPOSITE,21
48,10,0,COMPOSITE,21
49,10,1,COMPOSITE,21
50,10,0,COMPOSITE,21
51,10,1,COMPOSITE,21
52,10,1,COMPOSITE,21
53,10,1,COMPOSITE,21
54,10,0,COMPOSITE,21
55,10,0,COMPOSITE,21
56,10,1,COMPOSITE,21
57,10,0,COMPOSITE,21
58,10,1,COMPOSITE,21
59,10,1,COMPOSITE,21
60,10,1,COMPOSITE,21
1,11,0,COMPOSITE,12
2,11,0,COMPOSITE,12
3,11,0,COMPOSITE,12
4,11,1,COMPOSITE,12
5,11,1,COMPOSITE,12
6,11,0,COMPOSITE,12
7,11,1,COMPOSITE,12
8,11,1,COMPOSITE,12
9,11,1,COMPOSITE,12
10,11,0,COMPOSITE,12
11,11,1,COMPOSITE,12
12,11,0,COMPOSITE,12
13,11,0,COMPOSITE,12
14,11,1,COMPOSITE,12
15,11,0,COMPOSITE,12
16,11,0,COMPOSITE,12
17,11,1,COMPOSITE,12
18,11,1,COMPOSITE,12
19,11,0,COMPOSITE,12
20,11,1,COMPOSITE,12
21,11,1,COMPOSITE,12
22,11,0,COMPOSITE,12
23,11,1,COMPOSITE,12
24,11,1,COMPOSITE,12
25,11,0,COMPOSITE,12
26,11,1,COMPOSITE,12
27,11,0,COMPOSITE,12
28,11,1,COMPOSITE,12
29,11,1,COMPOSITE,12
30,11,0,COMPOSITE,12
31,11,1,COMPOSITE,12
32,11,1,COMPOSITE,12
33,11,0,COMPOSITE,12
34,11,0,COMPOSITE,12
35,11,1,COMPOSITE,12
36,11,0,COMPOSITE,12
37,11,1,COMPOSITE,12
38,11,1,COMPOSITE,12
39,11,1,COMPOSITE,12
40,11,1,COMPOSITE,12
41,11,1,COMPOSITE,12
42,11,1,COMPOSITE,12
43,11,0,COMPOSITE,12
44,11,0,COMPOSITE,12
45,11,1,COMPOSITE,12
46,11,1,COMPOSITE,12
47,11,0,COMPOSITE,12
48,11,1,COMPOSITE,12
49,11,0,COMPOSITE,12
50,11,1,COMPOSITE,12
51,11,1,COMPOSITE,12
52,11,1,COMPOSITE,12
53,11,1,COMPOSITE,12
54,11,0,COMPOSITE,12
55,11,1,COMPOSITE,12
56,11,1,COMPOSITE,12
57,11,1,COMPOSITE,12
58,11,0,COMPOSITE,12
59,11,1,COMPOSITE,12
60,11,1,COMPOSITE,12
1,12,0,PRIME,12
2,12,0,PRIME,12
3,12,1,PRIME,12
4,12,0,PRIME,12
5,12,1,PRIME,12
6,12,1,PRIME,12
7,12,1,PRIME,12
8,12,0,PRIME,12
9,12,0,PRIME,12
10,12,1,PRIME,12
11,12,1,PRIME,12
12,12,0,PRIME,12
13,12,0,PRIME,12
14,12,1,PRIME,12
15,12,1,PRIME,12
16,12,1,PRIME,12
17,12,1,PRIME,12
18,12,1,PRIME,12
19,12,0,PRIME,12
